birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
2000,0,173.0,65.0,1,17.0,60.0,1.0,8.0,0.012640545871922,0.0
2000,0,173.0,65.0,1,17.0,60.0,1.0,10.0,0.0163838651614947,0.0
2000,0,173.0,65.0,1,17.0,60.0,1.0,4.0,0.0163838651614947,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,34.0,0.057962082047935,-89.68470278469094
1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.0115654231778159,61.50456784139774
1999,0,178.0,71.0,2,0.0,0.0,0.0,16.0,0.0236125795746389,89.87129287326552
1999,0,178.0,71.0,2,0.0,0.0,0.0,17.0,0.0296130205635332,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,39.0,0.0505322481631623,-89.16990225092867
1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.013706459363799,89.93393794421443
1999,0,178.0,71.0,2,0.0,0.0,0.0,34.0,0.0599584079156411,88.28283245312524
1999,0,178.0,71.0,2,0.0,0.0,0.0,14.0,0.0262708565894417,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,12.0,0.018671311587358,89.64340882020043
1999,0,178.0,71.0,2,0.0,0.0,0.0,107.0,0.0178153535496114,-88.97936340080533
1999,0,178.0,71.0,2,0.0,0.0,0.0,9.0,0.0126840718880202,89.63663297854822
1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.0176976945468704,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,28.0,0.0479354735013592,89.59610958413327
1999,0,178.0,71.0,2,0.0,0.0,0.0,39.0,0.0640374832189583,89.46044572637027
1999,0,178.0,71.0,2,0.0,0.0,0.0,12.0,0.0226113447438644,83.54971596399955
1999,0,178.0,71.0,2,0.0,0.0,0.0,11.0,0.0180881485782298,84.83218662523609
1999,0,178.0,71.0,2,0.0,0.0,0.0,10.0,0.0186476220236706,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,26.0,0.0493916146461284,-85.96393050992563
1999,0,178.0,71.0,2,0.0,0.0,0.0,20.0,0.0288338704768857,0.0
1999,0,178.0,71.0,2,0.0,0.0,0.0,27.0,0.0461986516143695,-86.22406490331136
1999,0,178.0,71.0,2,0.0,0.0,0.0,11.0,0.0202424591029838,88.34359379490371
1999,0,178.0,71.0,2,0.0,0.0,0.0,21.0,0.0378699022367795,-89.71207202029682
1999,0,178.0,71.0,2,0.0,0.0,0.0,42.0,0.06882633232503,88.76198803455307
1999,0,178.0,71.0,2,0.0,0.0,0.0,25.0,0.0390410624916997,-82.19606160399502
1999,0,178.0,71.0,2,0.0,0.0,0.0,14.0,0.024751754641411,-89.71055986210361
1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.0130344652356545,-89.74201422138862
1999,0,178.0,71.0,2,0.0,0.0,0.0,32.0,0.0537669898537442,-89.69179205063061
1999,0,178.0,71.0,2,0.0,0.0,0.0,46.0,0.0770950608344467,89.48250030337415
1999,0,178.0,70.0,2,13.0,0.0,0.0,72.0,0.1132586934102918,0.0
1999,0,178.0,70.0,2,13.0,0.0,0.0,37.0,0.0543944274097504,-89.48058570955853
1999,0,178.0,70.0,2,13.0,0.0,0.0,31.0,0.0310273236068802,-89.83121898248088
1999,0,178.0,70.0,2,13.0,0.0,0.0,7.0,0.0115654231778159,61.50456784139774
1999,0,178.0,70.0,2,13.0,0.0,0.0,18.0,0.0236125795746389,89.87129287326552
2000,0,173.0,66.0,2,19.0,0.0,0.0,23.0,0.0255745791416619,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,20.0,0.0262708565894417,0.0
2000,0,173.0,66.0,2,19.0,0.0,0.0,49.0,0.0691775259384037,-89.8224599332683
2000,0,173.0,65.0,1,19.0,0.0,0.0,44.0,0.0599584079156411,-88.28283245312524
2000,0,173.0,65.0,1,19.0,0.0,0.0,10.0,0.0135480232855038,0.0
2000,0,173.0,66.0,2,19.0,0.0,0.0,13.0,0.0329588242076079,89.84572133458866
2000,0,173.0,65.0,1,19.0,0.0,0.0,7.0,0.0099693434711234,89.71440171269417
2000,0,173.0,66.0,2,19.0,0.0,0.0,24.0,0.03525092378376,89.79972523017464
2000,0,173.0,65.0,1,19.0,0.0,0.0,16.0,0.0207746793120007,0.0
2000,0,173.0,66.0,2,19.0,0.0,0.0,7.0,0.0139131229396784,89.00364641421103
2000,0,173.0,65.0,1,19.0,0.0,0.0,10.0,0.0207746793120007,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,8.0,0.0099693434711234,-89.71440171269417
2000,0,173.0,65.0,1,19.0,0.0,0.0,9.0,0.0135480232855038,0.0
2000,0,173.0,66.0,2,19.0,0.0,0.0,20.0,0.025159474235493,-89.87355005718992
2000,0,173.0,65.0,1,19.0,0.0,0.0,11.0,0.013706459363799,-89.93393794421443
2000,0,173.0,66.0,2,19.0,0.0,0.0,32.0,0.0371424071929706,-89.68336533970792
2000,0,173.0,65.0,1,19.0,0.0,0.0,44.0,0.0505322481631623,89.16990225092867
2000,0,173.0,66.0,2,19.0,0.0,0.0,28.0,0.0424944809247257,89.65808915161185
2000,0,173.0,65.0,1,19.0,0.0,0.0,22.0,0.0296130205635332,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,18.0,0.0206610231730196,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,12.0,0.0177869815540247,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,15.0,0.0177869815540247,0.0
2000,0,173.0,65.0,1,19.0,0.0,0.0,12.0,0.0169037745938368,-89.90786106040888
